,wonum,parent,priority,site,bdpocdiscipline,estdur,targstartdate,targcompdate,r_estdur
0,H13779495,,0,HT,MECH,20.0,01/03/0002,30/04/0002,2
1,H13824912,,1,HT,MECH,20.0,01/03/0002,30/04/0002,2
2,H13824914,,1,HT,PROD,1.0,01/03/0002,30/04/0002,1
3,H13824916,,1,HT,E&I,12.0,01/03/0002,30/04/0002,2
4,H13824920,H13824916,1,HT,E&I,2.0,01/03/0002,30/04/0002,1
5,H13824924,H13824916,1,HT,E&I,2.0,01/03/0002,30/04/0002,1
6,H13824928,H13824916,1,HT,E&I,2.0,01/03/0002,30/04/0002,1
7,H13824932,H13824916,1,HT,E&I,2.0,01/03/0002,30/04/0002,1
8,H13824936,H13824916,1,HT,E&I,2.0,01/03/0002,30/04/0002,1
9,H13824940,H13824916,1,HT,E&I,2.0,01/03/0002,30/04/0002,1
10,H13824944,,1,HT,E&I,44.0,01/03/0002,30/04/0002,5
11,H13824950,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
12,H13824956,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
13,H13824962,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
14,H13824968,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
15,H13824974,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
16,H13824980,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
17,H13824986,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
18,H13824992,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
19,H13824998,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
20,H13825004,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
21,H13825010,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
22,H13825016,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
23,H13825022,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
24,H13825028,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
25,H13825034,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
26,H13825040,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
27,H13825046,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
28,H13825052,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
29,H13825058,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
30,H13825064,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
31,H13825070,H13824944,1,HT,E&I,2.0952380952381,01/03/0002,30/04/0002,1
32,H13825078,,1,MT,E&I,20.0,01/03/0002,30/04/0002,2
33,H13825082,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
34,H13825086,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
35,H13825090,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
36,H13825094,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
37,H13825098,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
38,H13825102,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
39,H13825106,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
40,H13825110,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
41,H13825114,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
42,H13825118,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
43,H13825122,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
44,H13825126,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
45,H13825130,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
46,H13825134,H13825078,1,MT,E&I,1.42857142857143,01/03/0002,30/04/0002,1
47,H13825138,,1,HT,E&I,24.0,01/03/0002,30/04/0002,3
48,H13825140,H13825138,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
49,H13825142,H13825138,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
50,H13825144,H13825138,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
51,H13825146,H13825138,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
52,H13825148,H13825138,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
53,H13825150,,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
54,H13825155,H13825150,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
55,H13825160,H13825150,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
56,H13825165,H13825150,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
57,H13825170,H13825150,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
58,H13825175,H13825150,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
59,H13825180,H13825150,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
60,H13825185,H13825150,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
61,H13825190,H13825150,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
62,H13825195,H13825150,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
63,H13825200,,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
64,H13825202,H13825200,1,HT,E&I,3.33333333333333,01/03/0002,30/04/0002,1
65,H13825204,H13825200,1,HT,E&I,3.33333333333333,01/03/0002,30/04/0002,1
66,H13825206,H13825200,1,HT,E&I,3.33333333333333,01/03/0002,30/04/0002,1
67,H13825208,,1,HT,PROD,24.0,01/03/0002,30/04/0002,3
68,H13825212,,1,HT,MECH,20.0,01/03/0002,30/04/0002,2
69,H13825214,,1,HT,E&I,160.0,01/03/0002,30/04/0002,16
70,H13825216,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
71,H13825218,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
72,H13825220,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
73,H13825222,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
74,H13825224,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
75,H13825226,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
76,H13825228,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
77,H13825230,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
78,H13825232,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
79,H13825234,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
80,H13825236,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
81,H13825238,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
82,H13825240,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
83,H13825242,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
84,H13825244,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
85,H13825246,H13825214,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
86,H13825250,,1,HT,E&I,250.0,01/03/0002,30/04/0002,25
87,H13825252,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
88,H13825254,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
89,H13825256,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
90,H13825258,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
91,H13825260,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
92,H13825262,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
93,H13825264,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
94,H13825266,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
95,H13825268,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
96,H13825270,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
97,H13825272,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
98,H13825274,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
99,H13825276,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
100,H13825278,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
101,H13825280,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
102,H13825282,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
103,H13825284,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
104,H13825286,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
105,H13825288,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
106,H13825290,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
107,H13825292,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
108,H13825294,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
109,H13825296,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
110,H13825298,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
111,H13825300,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
112,H13825302,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
113,H13825304,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
114,H13825306,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
115,H13825308,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
116,H13825310,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
117,H13825312,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
118,H13825314,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
119,H13825316,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
120,H13825318,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
121,H13825320,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
122,H13825322,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
123,H13825324,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
124,H13825326,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
125,H13825328,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
126,H13825330,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
127,H13825332,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
128,H13825334,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
129,H13825336,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
130,H13825338,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
131,H13825340,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
132,H13825342,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
133,H13825344,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
134,H13825346,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
135,H13825348,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
136,H13825350,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
137,H13825352,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
138,H13825354,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
139,H13825356,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
140,H13825358,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
141,H13825360,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
142,H13825362,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
143,H13825364,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
144,H13825366,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
145,H13825368,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
146,H13825370,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
147,H13825372,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
148,H13825374,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
149,H13825376,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
150,H13825378,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
151,H13825380,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
152,H13825382,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
153,H13825384,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
154,H13825386,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
155,H13825388,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
156,H13825390,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
157,H13825392,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
158,H13825394,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
159,H13825396,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
160,H13825398,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
161,H13825400,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
162,H13825402,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
163,H13825404,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
164,H13825406,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
165,H13825408,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
166,H13825410,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
167,H13825412,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
168,H13825414,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
169,H13825416,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
170,H13825418,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
171,H13825420,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
172,H13825422,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
173,H13825424,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
174,H13825426,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
175,H13825428,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
176,H13825430,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
177,H13825432,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
178,H13825434,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
179,H13825436,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
180,H13825438,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
181,H13825440,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
182,H13825442,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
183,H13825444,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
184,H13825446,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
185,H13825448,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
186,H13825450,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
187,H13825452,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
188,H13825454,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
189,H13825456,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
190,H13825458,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
191,H13825460,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
192,H13825462,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
193,H13825464,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
194,H13825466,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
195,H13825468,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
196,H13825470,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
197,H13825472,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
198,H13825474,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
199,H13825476,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
200,H13825478,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
201,H13825480,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
202,H13825482,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
203,H13825484,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
204,H13825486,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
205,H13825488,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
206,H13825490,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
207,H13825492,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
208,H13825494,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
209,H13825496,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
210,H13825498,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
211,H13825500,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
212,H13825502,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
213,H13825504,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
214,H13825506,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
215,H13825508,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
216,H13825510,H13825250,1,HT,E&I,1.20192307692308,01/03/0002,30/04/0002,1
