,wonum,targstartdate,targcompdate,schedstartdate
0,H13824914,01/03/0002,30/04/0002,00001010010
1,H13825208,01/03/0002,30/04/0002,01011001110
2,H13828018,01/03/0002,30/04/0002,00001010010
3,H13828030,01/03/0002,30/04/0002,00010001110
4,H13828331,01/03/0002,30/04/0002,10101001110
5,H13830315,01/03/0002,30/04/0002,10101001110
6,H13830317,01/03/0002,30/04/0002,01111001110
7,H13830319,01/03/0002,30/04/0002,10110001110
8,H13830321,01/03/0002,30/04/0002,10101010010
9,H13830323,01/03/0002,30/04/0002,10110010010
10,H13830325,01/03/0002,30/04/0002,10001001110
11,H13831025,01/03/0002,30/04/0002,01000010010
12,H13831382,03/03/0002,30/04/0002,10111001110
13,H13831386,03/03/0002,30/04/0002,11100001110
14,H13831388,03/03/0002,30/04/0002,00011010010
15,H13831390,03/03/0002,30/04/0002,00111010010
16,H13831392,03/03/0002,30/04/0002,00100001110
17,H13831394,03/03/0002,30/04/0002,11110001110
18,H13831396,03/03/0002,30/04/0002,00101001110
19,H13831400,03/03/0002,30/04/0002,01001001110
20,H13831402,03/03/0002,30/04/0002,10110001110
21,H13831404,03/03/0002,30/04/0002,00101001110
22,H13831406,03/03/0002,30/04/0002,00101010010
23,H13831568,04/03/0002,30/04/0002,10011001110
24,H13831653,05/03/0002,30/04/0002,11000010010
25,H13831655,05/03/0002,30/04/0002,10000001110
26,H13831665,06/03/0002,30/04/0002,01111010010
27,H13831669,06/03/0002,30/04/0002,01101010010
28,H13831673,06/03/0002,30/04/0002,00110001110
29,H13831677,06/03/0002,30/04/0002,01001010010
30,H13831681,06/03/0002,30/04/0002,10011010010
31,H13831685,06/03/0002,30/04/0002,00101010010
32,H13831693,06/03/0002,30/04/0002,01110010010
33,H13831697,06/03/0002,30/04/0002,01000010010
34,H13831701,06/03/0002,30/04/0002,00011010010
35,H13831709,06/03/0002,30/04/0002,00101010010
36,H13831713,06/03/0002,30/04/0002,11111001110
37,H13831717,06/03/0002,30/04/0002,11011010010
38,H13831785,12/03/0002,30/04/0002,01101001110
39,H13831788,12/03/0002,30/04/0002,01110001110
40,H13831790,12/03/0002,30/04/0002,00110010010
41,H13832018,16/03/0002,30/04/0002,01010010010
42,H13832022,16/03/0002,30/04/0002,11100001110
43,H13832051,21/03/0002,30/04/0002,11000010010
44,H13832055,21/03/0002,30/04/0002,00110010010
45,H13832083,01/04/0002,30/05/0002,01000010010
46,H13834701,01/04/0002,30/05/0002,01111010010
47,H13834899,01/04/0002,30/05/0002,10111010010
48,H13834902,01/04/0002,30/05/0002,10111010010
49,H13834904,01/04/0002,30/05/0002,11101010010
50,H13835002,01/04/0002,30/05/0002,11100010110
51,H13836214,01/04/0002,30/05/0002,10111010010
52,H13836790,01/04/0002,30/05/0002,10011010110
