,date,HT,MT,bdpocdiscipline
0,01/03/0002,4,1,DECK
1,01/03/0002,7,2,E&I
2,01/03/0002,4,1,MECH
3,01/03/0002,11,1,PROD
4,01/03/0002,2,0,RES
5,02/03/0002,4,1,DECK
6,02/03/0002,7,2,E&I
7,02/03/0002,4,1,MECH
8,02/03/0002,11,1,PROD
9,02/03/0002,2,0,RES
10,03/03/0002,4,1,DECK
11,03/03/0002,7,1,E&I
12,03/03/0002,3,1,MECH
13,03/03/0002,12,1,PROD
14,03/03/0002,2,0,RES
15,04/03/0002,4,1,DECK
16,04/03/0002,7,1,E&I
17,04/03/0002,3,1,MECH
18,04/03/0002,12,1,PROD
19,04/03/0002,2,0,RES
20,05/03/0002,4,1,DECK
21,05/03/0002,7,1,E&I
22,05/03/0002,3,1,MECH
23,05/03/0002,12,1,PROD
24,05/03/0002,2,0,RES
25,06/03/0002,4,1,DECK
26,06/03/0002,7,1,E&I
27,06/03/0002,3,1,MECH
28,06/03/0002,12,1,PROD
29,06/03/0002,2,0,RES
30,07/03/0002,4,1,DECK
31,07/03/0002,7,1,E&I
32,07/03/0002,3,1,MECH
33,07/03/0002,12,1,PROD
34,07/03/0002,2,0,RES
35,08/03/0002,4,1,DECK
36,08/03/0002,7,1,E&I
37,08/03/0002,3,1,MECH
38,08/03/0002,12,1,PROD
39,08/03/0002,2,0,RES
40,09/03/0002,4,1,DECK
41,09/03/0002,7,1,E&I
42,09/03/0002,3,1,MECH
43,09/03/0002,12,1,PROD
44,09/03/0002,2,0,RES
45,10/03/0002,4,1,DECK
46,10/03/0002,6,1,E&I
47,10/03/0002,4,1,MECH
48,10/03/0002,11,2,PROD
49,10/03/0002,2,0,RES
50,11/03/0002,4,1,DECK
51,11/03/0002,6,1,E&I
52,11/03/0002,4,1,MECH
53,11/03/0002,11,2,PROD
54,11/03/0002,2,0,RES
55,12/03/0002,4,1,DECK
56,12/03/0002,6,1,E&I
57,12/03/0002,4,1,MECH
58,12/03/0002,11,2,PROD
59,12/03/0002,2,0,RES
60,13/03/0002,4,1,DECK
61,13/03/0002,6,1,E&I
62,13/03/0002,3,1,MECH
63,13/03/0002,11,2,PROD
